club,elo_ranking_club,elo
Spezia Primavera,,1623.6425775626694
Milan Primavera,,1596.8538105776015
Cosenza Calcio,,1574.758816322694
Othellos Athienou,,1602.5462119314425
Gaziantep FK,1388.68286133,1566.7764666053708
Malaga CF,,1558.5826291892392
Las Palmas Atletico,,1576.563793078396
Polonia Sroda Wielkopolska,,1553.005456582518
Eintracht Braunschweig,,1597.2102577382234
FC Honka,,1621.3661876845872
SV Werder Bremen II,,1597.6181856333444
SV Werder Bremen U19,,1514.2615300838252
Nadwislan Gora,,1682.3400819804149
TSG 1899 Hoffenheim II,,1647.162892995847
SG Sonnenhof Grossaspach,,1678.9583414735316
SD Compostela,,1617.0774683375512
Atletico Levante UD,,1519.832924516015
Recreativo Granada,,1520.1573482591389
CF Peralada,,1649.74077742261
Real Madryt Kastylia,,1622.4875552993155
KSZO Ostrowiec Swietokrzyski,,1636.0502900627935
Pandurii Targu Jiu (- 2022),,1614.4877143722015
FCSB,,1581.3338721196428
Unia Turza Slaska,,1614.582865368917
Ruch Zdzieszowice,,1554.5637570407798
Wolczanka Wolka Pelkinska,,1544.694962164074
IFK Mariehamn,,1532.1603553039904
Orebro SK,,1697.9575584115762
1.FK Pribram,,1649.5916114421998
Slezsky FC Opava,,1651.8821355819846
FC Graffin Vlasim,,1514.345871652262
SK Kladno,,1682.9236769062202
New Mexico United,,1551.3144069932014
FC Inter Turku,,1514.3101504997926
Kokkolan Pallo-Veikot,,1690.2908306310135
Czarni Polaniec,,1684.1164754777524
Krumovgrad,,1657.998489260284
CSKA 1948,,1669.682399090959
Kaysar Kyzylorda,,1613.4182602599133
Beroe Stara Zagora,1291.18493652,1596.4285746476935
Botev Plovdiv,1257.31860352,1579.353201393618
CS Mioveni,,1525.5751766040758
Unia Tarnow,,1547.285397629691
Tatran Liptovsky Mikulas,,1530.087581069837
Hebar Pazardzhik,,1604.76811189454
Zaglebie Sosnowiec II,,1568.193991543926
Arsenal Kijow,,1500.9120004445176
FK Poltawa (-2018),,1574.3628561726864
Naftowyk-Ukrnafta Ochtyrka,,1522.3235064579737
Rekord Bielsko-Biala,,1657.1355518320743
Mezokovesd Zsory FC,,1561.043867122825
Lechia Zielona Gora,,1519.3145017063941
Gornik Walbrzych,,1609.1632070645608
SK Dynamo Czeskie Budziejowice,,1603.4936162500812
Ryga FC,,1651.6773885318353
Bohemians Praga 1905,,1531.3510181824893
Marbella FC,,1585.152877389173
Salamanca CF UDS,,1551.929785870323
FC Sellier & Bellot Vlasim,,1631.6537511754666
UTA Arad,1277.47265625,1562.8491431943282
RKC Waalwijk U21,,1564.5790410354007
FK Gomel,,1580.5489294714341
Kolos Kovalivka,,1675.4130571525886
FK Minaj,,1658.2548225302558
VMFD Zalgiris Vilnius,,1576.0970582054574
FK Jerv,,1577.8364085293647
Olympiakos Nikosia,,1626.4865353710238
GIF Sundsvall,,1697.0650545101141
NK Nafta 1903,,1522.3461270451248
US Pistoiese 1921,,1517.986793084162
Real Balompedica Linense,,1667.8909454120876
Pontevedra CF,,1541.2124022600742
Real Valladolid B,,1658.9184241859753
CD Tudelano,,1524.45975515669
Excelsior '31 Rijssen,,1619.8041247114927
MFK Zvolen,,1672.1515622451282
FC Oss,,1631.1842992363695
1.FC Bad Kotzting,,1652.9672188288318
FK Banik Sokolov,,1667.7635113008396
Arka Gdynia II,,1581.9062336252057
CD Badajoz,,1600.1870530990564
GKS Przodkowo,,1521.3212604318805
SD Aucas,,1643.8750385688816
Guayaquil City FC,,1545.9770829057447
Club Estudiantes de La Plata,,1633.7180184909148
Barcelona SC Guayaquil,,1641.0472128341034
CS Emelec,,1528.4684720257424
SJK Seinajoki,,1537.0330535156638
IK Sirius,1307.93273926,1565.5729830532025
Pilica Bialobrzegi,,1551.1105999840217
Whitehawk FC,,1510.48105818121
Clube Operario Desportivo,,1520.760795963392
CD Santa Clara,,1523.6656617238561
Portimonense SC,,1604.3314387798812
Videoton FC,,1678.4941358402425
1.FC Tatran Presov,,1676.564383157968
Academico Viseu FC,,1669.6306167584219
VfR Wormatia Worms,,1626.3674182346306
Hannover 96 II,,1561.7300385491817
Virtus Entella,,1574.5016736254026
Sokol Ostroda,,1604.596701464965
Ceramika Opoczno,,1570.777606748259
Stilon Gorzow Wielkopolski,,1613.5059076272335
Olimpia Zambrow,,1536.693513458357
Zimbru Kiszyniow,,1563.522309830831
CS Unirea Ungheni,,1655.2331050879657
Jeunesse Esch,,1532.2581844898195
FK Lipawa,,1637.6741814862228
Dacia Kiszyniow,,1523.652347160354
SpVgg Unterhaching,,1513.7624917029905
AO Episkopi Rethymnou,,1602.827635607785
FC KTP,,1522.901212758101
Pierikos Katerini,,1664.8251412570535
Cordoba CF B,,1643.093785548835
Ecija Balompie,,1505.208554218674
Atromitos Ateny,,1600.322166938055
Sivasspor,1455.4375,1590.3572479047302
Panachaiki GE,,1623.1898796355879
Swit Nowy Dwor Mazowiecki,,1521.3998469158769
AFC Chindia Targoviste,,1659.3889680056386
UTA Batrana Doamna Arad,,1579.6351943724042
Gryf Wejherowo,,1670.2765220255428
Mjallby AIF,,1543.01839039791
SV Wildon,,1591.6682644687078
NK Smartno 1928,,1511.7138282981634
NK Publikum Celje,,1613.4438453009134
Drweca Nowe Miasto Lubawskie,,1567.044234040982
BK Hacken,,1549.9387009611153
Lyngby BK,,1610.521611394848
Naestved Boldklub,,1587.7345883756338
HB Koge,,1602.422940483425
Herfolge Boldklub,,1629.6525162837627
Eolikos Mytilinis,,1522.0261203627515
FK Radnicki 1923 Kragujevac,,1580.0352652254046
FK Vozdovac,,1531.0842012094058
Algeciras CF,,1697.4132175094826
Recreativo Huelva B,,1599.2030771560471
Khor Fakkan SSC,,1573.051775469716
EC Santo Andre,,1579.6954794094468
Linares Deportivo,,1641.4033216453595
CF Talavera de la Reina,,1655.787701343274
Club Polideportivo El Ejido,,1559.1611521587834
SKA Khabarovsk,,1679.43608160825
Podlasie Biala Podlaska,,1589.7023517847806
Metalist Charkow (- 2016),,1523.6937038580522
Metalurg Donieck (- 2015),,1585.5358916488362
Bohemians Praga 1905 B,,1624.1302549873965
FC SILON Taborsko,,1697.836314947396
Podhale Nowy Targ,,1581.5161699031876
FC MAS Taborsko,,1504.2455628339837
FK Slavija Sarajevo,,1633.3586214615848
KP Starogard Gdanski,,1629.7940592848397
Hapoel Raanana,,1542.7151059792473
FC Admira Wacker Modling,,1545.9145705381661
FK Zeleziarne Podbrezova,,1698.5331666129305
Sokol Kleczew,,1686.5312810810804
Gioiese 1918,,1561.3921815559875
Odra Wodzislaw Slaski,,1548.4998914221298
FK Sutjeska Niksic,,1687.9508291010698
OFK Grbalj,,1536.050247856671
Pelikan Lowicz,,1598.6421441157245
Lechia Tomaszow Mazowiecki,,1589.6449050460835
Elana Torun,,1635.7532651866359
SC Cambuur Leeuwarden,,1668.8501601657263
Podlesianka Katowice,,1541.5561633925083
Bamber Bridge FC,,1688.9865763415073
FC Hermannstadt,,1675.0649040524222
FK Taraz,,1643.3247176852979
FC Utrecht U21,,1584.8962329220901
FC Utrecht U19,,1651.877178978173
NK Siroki Brijeg,,1534.167231796342
RNK Split,,1668.1940614187395
NK Croatia Sesvete,,1542.3611977676915
CF Rayo Majadahonda,,1606.1782996472357
UD Logrones,,1524.8258425118092
Nottingham Forest,,2213.27
Fortuna Sittard,,1594.500327222119
Stal Brzeg,,1571.8899980035615
SC Braga B,,1537.403876364866
CD Nacional,,1632.3737334226385
Villarreal CF,,2186.41
Sportlust '46,,1627.592020233608
FC Eindhoven,,1531.9367243916313
Zakho SC,,1553.6984575189629
Sporting Kansas City II,,1503.6690864746463
Birkirkara FC,,1598.3508520603662
Song Lam Nghe An FC,,1688.7340545511902
ACSC FC Arges,,1512.3853026946867
FS Kozani,,1640.5850596895173
FC Famalicao,,1640.3984033433471
UD Leiria,,1663.6370191847475
NK Vitez,,1517.4081078825502
Gimnastica Segoviana CF,,1618.7787208012817
Bergantinos FC,,1518.6460869995303
Getafe CF B,,1601.4572256494837
FK Leotar Trebinje,,1565.9671286557364
FK Sloboda Tuzla,,1624.2221890712951
FK Tukums 2000,,1660.899949794318
Baltyk Koszalin,,1679.0963661982464
SV Eichede,,1522.50179558478
24 Erzincanspor,,1535.21329864664
SK Vorwarts Steyr,,1591.856016112152
Menemenspor,,1563.1186165816741
Boluspor,,1688.5333668045964
1.SC Znojmo FK,,1543.9888525688984
SK Super Nova,,1604.1698499279644
JFK Ventspils,,1621.51154374808
Widzew Lodz II,,1550.12810972113
FC Universitatea Cluj,,1674.077050941132
NK Croatia Zmijavci,,1600.8926097805079
NK Dugopolje,,1697.4826777952846
NK Inter Zapresic U19,,1519.8242291613326
Gwardia Koszalin,,1674.6317975325273
Cuiavia Inowroclaw,,1623.8388677462838
Sokol Aleksandrow Lodzki,,1674.1500684023342
FC Flora Tallinn,,1695.0934024452354
FC Wacker Innsbruck,,1601.424681647962
Motherwell FC,,1586.4443100578897
Derby County U18,,1617.3949931950474
Mersin Idmanyurdu,,1570.2400887665053
Konyaspor,1405.19726562,1523.4528052598873
FK Haugesund,,1506.042014603215
FK Atyrau,,1588.8128557574657
SK Tawrija Symferopol (-2022),,1505.2929083643417
Zakarpattia Uzhorod,,1646.943809548676
Tomasovia Tomaszow Lubelski,,1698.4856278119441
Gornik Leczna II,,1549.9302103406383
Chelmianka Chelm,,1587.3059236192748
Astra Giurgiu,,1536.5123857442245
Academica Clinceni,,1551.6926849908136
FC Brasov,,1675.006229363128
Aris Limassol,,1655.9156613761772
Orleta Radzyn Podlaski,,1572.1416534385585
Avia Swidnik,,1690.146009257391
Sleza Wroclaw,,1675.95270570493
FK Suduva Marijampole,,1565.2312756222473
JK Trans Narva,,1680.6307203817762
FC Dziugas Telsiai,,1567.822893310977
FK Gorodeya (- 2020),,1699.1362640875564
FK Atlantas Klaipeda (-2020),,1678.1234393651464
FK Palanga (-2020),,1530.0015481623022
SS Monopoli 1966,,1624.5548704459459
FK Fotbal Trinec,,1537.7643011776745
Wislanie Jaskowice,,1636.9484735967626
Kolorado Wola Chorzelowska,,1509.8125848426853
Watra Bialka Tatrzanska,,1690.8149399356362
KF Feronikeli Drenas,,1509.6084916989855
KF Skenderbeu,,1581.3106882611119
Znicz Biala Piska,,1585.21655313132
RKC Waalwijk,,1641.897984523885
PSV Eindhoven U21,,1541.089341177098
GKS Wikielec,,1556.2508080865007
Wisla Plock II,,1556.0733862802406
Warmia Olsztyn,,1662.3541760946723
ADO Den Haag U21,,1545.3945153207665
FK Metta,,1514.5054808416683
1.FC Bocholt,,1567.1506284568136
Ruch Chorzow II,,1678.4302133263463
Kenyon College,,1530.5708362396792
ZP Sport Podbrezova,,1613.4573887928996
Apollon Limassol,,1536.9190868938347
Miedz Legnica II,,1562.3313096260558
Baltyk Gdynia,,1508.848778784916
AGOVV Apeldoorn,,1682.6790044465859
Wolga Nizny Nowogrod (- 2016),,1664.225196484855
FC Vizela,,1634.1591318400338
SC Ollanes,,1600.546503384587
FC Noah Erewan,,1660.2059810475093
CD Trofense,,1678.0332789447739
Casa Pia AC,,1653.0583760019047
Jednosc Przyszowice,,1692.5564403942703
Varsovia Warszawa U19,,1677.224236627809
Piast Zmigrod,,1539.261668475336
FC Pacos de Ferreira,,1527.6873807510724
Leixoes SC,,1544.6857010955061
LKS Goczalkowice-Zdroj,,1590.325698239698
Vasteras SK,,1696.7611812827909
Unia Skierniewice,,1671.5077939458738
Mamry Gizycko,,1572.9776735132473
B36 Torshavn,,1672.7682038209662
JFK Olimps Riga,,1536.8336396842212
Cagliari Primavera,,1516.7021424826219
Kickers Offenbach II,,1647.6318819036705
Cheonan City,,1552.4316213522488
HSK Zrinjski Mostar,,1576.1508305042291
Suwon Samsung Bluewings,,1658.9660834054162
Mash'al Mubarek,,1674.01376976055
Ingulets Petrowe,,1578.1120784384457
Free State Stars,,1592.9390754418096
Metalist 1925 Kharkiv,,1501.7987993812899
Barycz Sulow,,1523.5965108274352
VPK-Agro,,1680.5500648713148
Agrobiznes Volochysk,,1660.7285356538168
FK Slutsk,,1597.339423153379
BKS Stal Bielsko-Biala,,1508.2181771737748
SD Logrones,,1679.0446478200085
CD Alcoyano,,1561.6838813792663
RZ Deportivo Aragon,,1560.4516325589022
CE L'Hospitalet,,1507.7497114711148
SC Kfar Qasem,,1670.963879085754
Korona Rzeszow,,1509.1612345701783
1. Wiener Neustadter SC,,1660.2434787549093
Tur Turek,,1550.1722890023755
Zeleznicar Pancevo,,1650.8978173355397
CSK Pivara Celarevo,,1631.2980542950868
ACS Poli Timisoara (2012 - 2021),,1636.1046449255205
Resovia Rzeszow II,,1651.5587867824217
Sokol Sieniawa,,1611.9531353492591
Carina Gubin,,1521.18391383259
USV Halbturn,,1545.134509855622
MSK Zilina U19,,1631.8657878592328
GAIS,,1611.206225418846
PGS Kissamikos,,1624.8144302804164
Panthrakikos Komotini,,1660.5508906316445
Granada CF,,1589.4059768496352
NK Tolmin,,1541.6512550102075
FC Blackpool,,1670.6770883556658
FC Reading,,1614.6880910641457
Odra Bytom Odrzanski,,1688.3575007761976
AE Sparti,,1606.563283019004
Goslarer SC,,1613.4778662570423
Okocimski KS Brzesko,,1559.2345346660786
Dynamo Dolny Kubin,,1609.1977745517913
Pniowek Pawlowice ,,1615.8033672404658
Wisla Krakow U19,,1584.6106066286961
Parma Primavera,,1543.157614723577
FK Nevezis Kedainiai,,1670.1197929586103
Wisloka Debica,,1522.6616480730174
Wiked Luzino,,1616.4530325242729
Stal Rzeszow II,,1604.129374465374
KS Wiazownica,,1686.5821088958633
Stal Krasnik,,1671.229097490059
Karpaty Krosno,,1624.7932544687897
UKS SMS Lodz,,1681.529364322865
Dunarea Calarasi,,1613.9657955769535
Rapid Bukarest,,1651.1387377709839
Sportul Snagov,,1564.169688122181
CS Stiinta Miroslava,,1695.4839743037728
FC Botosani,,1594.5782304633112
AFC Turris-Oltul Turnu Magurele (- 2021),,1583.180856259632
FCSB U19,,1659.9573909134488
Unirea Constanta,,1626.2190940727141
ACS Viitorul P. Targu Jiu,,1553.2568164854476
FCSB II,,1502.9743970094476
ACS Foresta Suceava,,1565.2723199704274
Rapid CFR Suceava,,1671.871780715065
FC Rapid 1923,,1500.216572100481
Gaz Metan Medias (- 2022),,1625.5618531160994
CSM Alexandria,,1500.6261733565054
FC Farul Constanta 1920,,1504.7200268563051
CSM Ramnicu Valcea (- 2017),,1594.622750633463
AOK Kerkyra,,1659.9987504648193
Doxa Dramas,,1537.4710775763288
Olympiakos Piraus U20,,1562.740640811388
ACS Medias 2022,,1615.395212352781
Minaur Baia Mare,,1540.3195918651784
FC Energie Cottbus,,1673.8512626663983
CSM Ramnicu Sarat,,1697.6048370108658
Kyzyl-Zhar SK Petropavlovsk,,1672.9784693525016
FK Partizan Belgrad,,1631.4533139314158
Juventus Bukareszt,,1612.2552963795115
Brescia Primavera,,1618.356610436922
FC Metaloglobus Bucharest,,1616.961777755639
Unirea Dej,,1525.3982948808234
CS Minerul 1947 Ocna Dej,,1581.667262540595
CS Afumati,,1693.9400222049558
Al-Okhdood Club,,1616.2064051068592
Al-Jazira (Abu Zabi),,1544.4066259797492
Academia Hagi,,1647.3184471896482
CSM Slatina,,1685.9844047933254
CSM Cetatea Turnu Magurele,,1694.8309629634844
Pisa Sporting Club,,1672.525830401948
Galatasaray,1562.87719727,2274.17
Universitatea Cluj,,1649.0230216801679
Seongnam FC,,1603.2761983557482
Sheffield Wednesday,,1601.3955261413362
CSM Corona Brasov,,1588.140438453244
FCM Targu Mures,,1691.6185350794053
CSA Steaua,,1655.907272489371
ACR Messina,,1546.153360363274
FK Tuzla City,,1624.2579495008993
KVRS Waasland - SK Beveren,,1524.5956648900283
SC YF Juventus Zurich,,1674.9551343550213
FC Aarau,,1651.442490845614
FC Sochaux-Montbeliard,,1667.7729755742316
Angers SCO,,1507.6208096198827
SC Kriens,,1532.6498228597347
Jiul Petrosani,,1532.219188279333
ACS LPS HD Clinceni,,1644.014186340955
FCSB U21,,1539.248751756261
Palermo FC,,1581.2275284893983
FC Pro Vercelli 1892,,1577.049432483599
ACS FC Brasov Steagu Renaste (- 2024),,1692.616055887836
CS U Craiova U19,,1613.3046824639273
CS Turnu-Severin (- 2013),,1630.7308602516803
ALRO Slatina,,1683.434193572167
Hapoel Tel Aviv,,1529.7359714103745
Stade Reims,,1640.2208426390876
FC Paris Saint-Germain,,2336.42
Zira FK,,1685.4655467449784
Sekzia Ness Ziona,,1570.728759092532
FC Wil 1900,,1609.120173689437
Kardemir Karabukspor,,1609.3892995280532
Chievo Verona,,1543.9718126214661
FC Olt Slatina (- 2015),,1662.256104135435
CS U Craiova II,,1586.5403380896628
Lommel SK,,1665.6665933622203
FC Evian Thonon Gaillard,,1590.7739852520263
Olimpia Satu Mare (1921 - 2018),,1510.0408111379268
FC Bihor Oradea (- 2016),,1569.6770508124484
Lokomotiv Sofia,,1628.5359130536872
Septemvri Sofia,1105.76977539,1641.9493349260035
Akademik Svishtov,,1678.3137053341572
Hamrun Spartans,,1599.6728858116383
Valenciennes FC,,1562.8387471004835
Foggia Calcio,,1622.5504836113641
AC Cesena,,1542.110311060218
FC Bari 1908,,1642.6443097970212
CS Tunari,,1653.020874661157
Ittihad Kalba FC,,1508.7662285271272
Szombathelyi Haladas,,1612.1692924448168
SV Grodig,,1669.8439548157833
Chemnitzer FC,,1690.3477661603754
Hamburger SV II,,1690.822625474988
CSM Resita,,1653.736175691027
FK Krupa na Vrbasu,,1552.8868429671384
FK Borac Banja Luka,,1692.6282752482207
Terengganu FC,,1522.4818895427231
Sageata Navodari (- 2015),,1681.64074277384
Al-Shabab FC,,1517.0218898157625
RCD Espanyol,,1607.3351365922526
Unirea Urziceni ( - 2011),,1559.6891777825197
Blackburn Rovers,,1622.825841634356
SSU Politehnica Timisoara,,1531.0588622024115
Ripensia Timisoara,,1672.6133187044252
Lazio Rom Primavera,,1514.4043187413445
Luceafarul Oradea,,1633.4905458657106
Sanatatea Cluj,,1667.5841108343695
Guizhou Hengfeng,,1579.8195344971407
CS Sedan-Ardennes,,1518.8218489825786
SM Caen,,1587.3836959735547
Quevilly Rouen Metropole,,1614.3558352849225
Kasimpasa,1382.55285645,1647.1734880587417
Denizlispor,1253.81164551,1692.5634125061997
Esperance Tunis,,1664.3412806029403
SAS Epinal,,1528.7013175833267
Austria Vienna Reserves,,1608.6649841714184
SV Mattersburg II (-2020),,1641.6625416915888
Naval 1o de Maio,,1690.856857798733
Genclerbirligi Ankara,,1528.9512738566916
CF Gloria Bistrita (- 2015),,1549.3512754771236
Mouscron-Peruwelz,,1529.036336702252
FC Arouca,,1563.423032218594
CD Cova Piedade,,1546.4220873488598
CF Unia Madeira (-2021),,1526.7168805096546
Al-Qadsiah FC,,1531.1234299890193
FCM Dorohoi (- 2015),,1548.92220461213
Al-Raed SFC,,1585.3547466550312
GFC Ajaccio,,1699.517773235043
AS Livorno,,1543.1186475820616
AC Monza Brianza,,1537.11165061033
CD Feirense,,1599.9791497916501
Moreirense FC,,1599.4802596667703
FC Bihor 1902,,1611.00956436223
FC Dinamo II,,1602.4675893337076
FK Aktobe,,1644.7317319442566
FC Schalke 04,,1644.2877643525746
Athens Kallithea,,1580.0762146169502
Kocaelispor,,1681.4899109122043
Yeni Malatyaspor,,1526.0439926272888
RCD Mallorca,,2171.57
Wolverhampton Wanderers U21,,1650.8717591240047
AC Arles-Avignon,,1687.2459811649935
Olympique Marseille,,2204.56
AC Este 1920,,1562.6251728832754
Mantova 1911,,1533.2719699771528
Piacenza Calcio 1919,,1587.4178969384889
Torino Primavera,,1525.4909512857025
Shijiazhuang Ever Bright,,1535.594639031698
Inter Primavera,,1512.7594446012743
Feyenoord Rotterdam,,2207.1
Axiopolis Cernavoda,,1653.2319546596627
FC Sudtirol-Alto Adige,,1527.268977816401
AS Roma,,2236.98
AFC Fortuna Poiana Campina,,1577.6401943410722
Brunei DPMM FC,,1643.2814304812323
RCD Espanyol B,,1579.0971181242726
FC U Craiova 1948,,1631.1753977187557
FCV Farul Constanta II,,1647.5336109399311
FC Dordrecht U19,,1553.805716565788
Vila Nova Futebol Clube (GO),,1611.5297709332672
D.C. United,,1502.6162002703309
Figueirense Futebol Clube,,1683.2103571948678
Gaziantepspor,,1683.74196807164
Steaua U21,,1569.4787768474855
CSM Deva,,1666.0903844918857
Swansea City U21,,1605.392611120591
FC Caransebes (- 2016),,1654.9703366810365
FCV Farul U19,,1510.3740460348097
NorthEast United FC,,1587.1887987223706
Real Sociedad,,2294.53
Omiya Ardija,,1656.7109328147335
FC Viitorul Constanta II,,1610.9372998661024
Gimnastica de Torrelavega,,1699.0832447029024
Astra Ploiesti,,1665.390156231107
Farul Constanta,,1646.3669609393123
SC Otelul Galati,,1530.0434690643297
UE Cornella,,1514.2674988396477
CD Pinhalnovense,,1638.9409963640182
UD Oliveirense,,1659.285780259453
AS Bari,,1627.2272750623415
Sulut United FC,,1564.309265914514
FK Turan,,1689.0168387875738
FK Bylis,,1541.113307663625
Akhmat Grozny,,1547.7216247511344
Ross County FC,,1570.3221791946041
AZ Alkmaar U21,,1675.8376503402642
Fiorentina Primavera,,1639.5705687474237
Ujpest FC,,1678.5267006946574
Virtus Entella Primavera,,1592.1440299496076
Cong An Ha Noi FC,,1682.4995921722248
Wydad Casablanca,,1651.8436409198443
Liaoning Tieren,,1546.7620561794586
Ermis Aradippou,,1513.798156807064
Alemannia Aachen,,1646.909810014469
Eintracht Frankfurt U19,,1673.2547900294571
Vejle Boldklub,,1639.0332424268272
FC Clinceni,,1610.7142757015388
Manisa FK,,1593.0672256785049
Desna Czernigow,,1674.8136255276513
Metalul Resita,,1544.0666420751286
Shinnik Yaroslavl,,1533.9140794709378
Rotor Volgograd,1318.16601562,1656.615221167176
Grenoble Foot 38,,1507.560848814832
Sporting CP B,,1664.867035208923
Turun Palloseura,,1512.2865024940663
Rot-Weiss Erfurt,,1507.4427354222914
SV Babelsberg 03,,1542.4279127866591
SV Wacker Burghausen,,1644.7473309192865
CSC 1599 Selimbar,,1694.232975559384
ACS Vedita Colonesti M.S.,,1679.8657317582934
CSM Focsani 2007,,1665.6528230387025
GD Estoril Praia,,1577.5667636340975
SC Freamunde,,1505.266344398448
FC Milsami Orgiejow,,1585.934618324538
CS Blejoi,,1624.5040052514119
HNK Sibenik,,1690.1966585029184
Sarpsborg 08 FF,,1695.1918993487106
Le Mans FC,,1512.8137883091829
AC Ajaccio,,1518.7269010365262
Red Star FC,,1554.5966664347764
AJ Auxerre,,1643.7739219899738
GS Ergotelis,,1518.0861707659105
Ventforet Kofu,,1501.3295680520712
Osmanlispor FK,,1653.842881839074
Astra II Ploiesti,,1517.727969102166
AFC Metalul Buzau,,1547.1923627360668
Dalian Yifang,,1641.4590264911888
Ratchaburi Mitr Phol FC,,1502.3611701031991
Servette FC,,1571.2357870103467
Neuchatel Xamax,,1517.477427729805
Yunnan Yukun,,1556.420280036169
FC Hermannstadt II,,1523.899640612588
Umraniyespor,,1643.729112904503
Hatta Club,,1521.4835390548287
AS Nova Mama Mia Becicherecu Mic,,1515.3953126973483
Stade Rennais FC B,,1577.9445933988575
AS Flacara Moreni,,1635.2467194817068
FK Radnik Bijeljina,,1690.4742281091162
Muaither SC,,1642.6065381515511
Fermana FC,,1532.643782503525
FC Trapani 1905,,1659.5507846755233
Audace Cerignola,,1579.7708393516205
Aurora Pro Patria,,1695.4043980075483
US Arezzo,,1675.1386478494267
SS Juve Stabia,,1689.2023565102727
Feralpisalo,,1573.6291845404508
AIK,1469.24719238,1598.472167874271
LASK Linz II,,1544.450270223853
Maccabi Bnei Reineh,,1595.5606690578552
ASC Daco-Getica Bukarest,,1604.6951488862514
CS Balotesti,,1521.7491567092488
AD Ceuta FC,,1512.664845950406
Western Sydney Wanderers,,1557.9522238474678
Ankaraspor,,1685.5230392791618
FC Middlesbrough,,1638.3848217161005
Tromso IL,,1502.86024052855
CD Atletico Baleares,,1664.147705026205
UD Almeria,,1581.2810695929695
Real Jaen CF,,1644.627726370453
Real Betis B,,1535.7678391521765
Deportivo de La Coruna,,1594.749771415975
Alanyaspor,1399.38916016,1539.7364460895114
TSV 1860 Munchen,,1661.6053296193186
FC Porto,,2259.43
Al-Faisaly FC,,1589.0753460941362
SD Eibar,,1670.0775972879437
St. Mirren FC,,1608.1948578220715
ACS Berceni,,1615.3856991240534
Karlsruher SC U19,,1694.7005249376134
CD Tenerife,,1679.5959539781918
Athletic Bilbao,,2245.23
Bilbao Athletic,,1619.8965507416094
FC Maramures Baia Mare,,1613.755685222501
Academica Arges,,1604.3628353652152
Unirea Tarlungeni (- 2017),,1647.177988751396
Callatis Mangalia,,1540.6052553652933
Caracas FC,,1669.3220503631524
FC Pyunik Erewan,,1582.3556232255573
AFC Progresul 1944 Spartac,,1533.0180471843835
Ohod Club,,1569.1595648313366
Manchester City,,2634.42
ETO FC Gyor ,,1506.4627915371261
Getafe CF,,1655.6513056593333
FC Sportul Studentesc Bucharest,,1542.5129250990444
US Sambenedettese,,1576.5698432751485
Lucchese 1905,,1645.485203546079
US Alessandria Calcio 1912,,1594.2478282759885
Birmingham City,,1536.3877340788797
FC Millwall,,1620.9943992588976
FC Watford,,1576.1867732121445
US Palermo,,1581.129788850852
Cherno More Varna,,1603.8225063262505
Oldham Athletic,,1626.2073402469182
CS Maritimo,,1606.4959136472912
FC Den Bosch U19,,1680.408872566262
PontDonnaz Hone Arnad Evancon,,1558.7368172850897
Eintracht Braunschweig II,,1563.7541524754542
FC Dinamo U19,,1645.71298704537
Willem II Tilburg,,1572.752448990267
New York City FC,,1514.1596501267927
FC Erzgebirge Aue,,1684.9660563337693
CSM Ceahlaul Piatra Neamt,,1685.5725141511543
Anagennisi Karditsas,,1672.9927661123409
Adanaspor,,1606.673380827003
FC Everton,,2218.3
Stade Brestois 29,,1585.8103603734353
R Charleroi SC,,1639.8068472405362
FC Blau-Weiss Linz,,1560.758804993167
SV Austria Salzburg,,1625.5787696843186
AFC Unirea 04 Slobozia,,1514.6546503197983
CSF Speranta Nisporeni (- 2021),,1575.9659851454248
CSMS Iasi,,1508.1949128803046
Dante Botosani (2002 - 2023),,1666.4694427930604
Dijon FCO B,,1593.3265896751188
SV Seekirchen,,1572.2299628045953
1.FC Phonix Lubeck,,1517.4230673088898
FC Lustenau,,1681.806880379769
Red Bull Juniors Salzburg (- 2012),,1633.1553457818932
SG Wattenscheid 09,,1653.0996162488475
VfB Oldenburg,,1595.3567822208047
SV Wilhelmshaven,,1603.6112616705834
ACS Fotbal Comuna Recea (- 2021),,1565.8954211599093
Al-Bataeh CSC,,1643.0263431598132
Hapoel Bnei Lod,,1661.1309759631556
Ekenas IF,,1697.6055855566615
KS Lushnja,,1610.4159417703463
KF Teuta,,1610.346500143164
SSC Bari,,1548.9835095469916
FC Lorient,,1589.496029606982
ASM Belfort,,1584.6259099689466
Real Murcia CF,,1502.6478719647523
SC Bastia,,1590.140968828711
FC Luftetari (- 2020),,1520.64302863997
FK Partizani,,1697.5661421271154
FC Kamza,,1648.7312175187021
FK Partizani B (- 2021),,1614.9245347205033
Patro Eisden Maasmechelen,,1516.9408418893154
Alashkert Yerevan,,1641.162009169382
Kayseri Erciyesspor,,1581.3676579739154
Stromsgodset IF,,1686.0739646043016
FK Donji Srem Pecinci,,1667.259967654128
FK Teleoptik Zemun,,1519.9273097573125
Nykobing FC,,1620.1115055160217
FAR Rabat,,1564.3323320052764
FC Kopenhaga,,1645.6894907553587
Hvidovre IF,,1685.6941984116042
Al-Shorta SC,,1586.5433685928524
Umm Salal SC,,1638.5340361398996
FC Toulouse,,1529.650282657974
Al-Tai FC,,1557.4409609488746
SS Matera Calcio,,1685.0231750319101
Flamurtari FC,,1602.9288902836067
